등급분류번호,게임물명,제작자,자체등급,자체등급분류사업자,결정일자,구분,결정등급
RE-OM-221117-117,Jailbreak Prisoner Escape Game,Hyper Games Studio,,GOOGLE,2022-11-17,등급조정,청소년이용불가
RE-OM-221117-118,Offline Gun Shooting Games 3D,Sigma Elite,,GOOGLE,2022-11-17,등급조정,청소년이용불가
RE-OM-221117-119,Counter Terrorist Offline Game,Define Play Hub,,GOOGLE,2022-11-17,등급조정,청소년이용불가
RE-OM-221117-120,Games Wild,Juju Games Solution,,GOOGLE,2022-11-17,등급조정,청소년이용불가
RE-OM-230112-001,Shooting Games 2022,Action Simulation Games 2022,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-002,Drag Runner,Playmm Symphonia,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-003,Horrendous city,Sai venkat games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-004,FPS Sniper: City Hunter,Game valley,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-005,FPS War Shooting Gun Games 3D,Sigma Elite,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-006,Light Speed Hero Superhero Sim,?incredible gaming studio,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-007,Offline Gun Shooting Games 3D,Ahmad Raza,,Samsung Eelctroncis,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-008,Gun Games 3D : Shooter Games,Bolt Games Inc,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-009,FPS Shooting War Mission Games,Mob 3D Gamers,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-010,Squad Survival Sniper Shooting,Umar Azhar,,Apple,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-011,Squid Pixel Grand Battle,Poppy 666,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-012,My Town Zombie,yjmgames,,Oculus,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-013,FPS Gun Shooting Mobile Games,Hay Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-014,Kiss Your Body,流水不腐,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-015,Sexy Girl Puzzle: Beauty Girl,Tec Wobbel,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-016,Gun Games 3D- War Game Offline,Sigma Elite,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-017,Motherbird: The Dark One,Poison Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-018,Zombie Land: Craft School,Great Hyper Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-019,Free Offline FPS Gun Shooting Games : Counter Terrorist Games : Gun War Shooter Games 3D,Stag Creations,,Samsung Eelctroncis,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-020,Endless Nightmare 4: Prison,707 INTERACTIVE: Fun Epic Casual Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-021,Herder Murder,Aimee Shoun,,Apple,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-022,Multi Robot Transform War Game,Hexa Buddy,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-023,Super Rope Hero Vice Town,Games Orchard,,Apple,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-024,Grand Gangsters Fighting Game,Khan Gammers,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-025,MAZE WAR,Matrix Gaming,,Samsung Eelctroncis,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-026,Frontline Counter Strike Squad,Awais Naseer,,Apple,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-027,Gun Games 3D-FPS Shooting Game,War Stone,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-028,Battle Shooting Gun Shooting,Daviding Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-029,Critical War : Shooter Games,Integrated Codes,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-030,Commando Shooting Game 3D,Crystal Offline Game Studio,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-031,Wave Hunter,Hyper Technologies,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-032,FPS Gun Shooting Offline Games,Game Skills,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-033,SUBWAY CLASH 2,TheCrow,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-034,Battle Gun Shooting Fps,ALTA VISION,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-035,Gun Games 3d-FPS Shooting Game,AlfaSolutionAp ps,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-036,Gun Games Strike : Shooting 3D,Dawn studios,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-037,Cowboy 3D: Gun Shooting Games,Gamester Studio Inc,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-038,Zombie Dead City Shooting Game,Offroad nest game studio,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-039,Fps Commando War,Gold Gamer,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-040,Colored Water Bomb,Bairam Game,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-041,Bugui bugui Horror 2 Mod,GaldiaGames Studio Ltd,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-042,Fps Commando Offline Fire 2021,DodgersPlay,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-043,PolyZ,GtoG,,Oculus,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-044,War Gun Shooting Games Offline,Velocity Simulation Games,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-045,Zombie Shooting Survival War,Ahmza Tech,,Google,2023-01-12,직권등급재분류,청소년이용불가
RE-OM-230112-046,FPS Commando Real Shooting,Brilliant Gamez,,Google,2023-01-12,직권등급재분류,청소년이용불가
-,Deep Digger: Idle Miner Tycoon,Banderstadt,,Google,2023-01-12,등급취소,등급취소
-,Win Money Solitaire:real cash,Kong wei,,Google,2023-01-12,등급취소,등급취소
-,Guess the name of the animal,Ace Of Heart,,Google,2023-01-12,등급취소,등급취소
-,Guess the pic,Teamonline,,Google,2023-01-12,등급취소,등급취소
-,HeySpin: Lucky Choice,Abel Bradley,,Apple,2023-01-12,등급취소,등급취소
-,Love Fishing,mclosamigolos,,Google,2023-01-12,등급취소,등급취소
-,Solitaire: card games hub,Streamflow Strategies Limited,,Google,2023-01-12,등급취소,등급취소
RE-OM-230202-001,Counter Terrorist Sniper 3D,FAREEDMOB,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-002,Counter Attack: Offline Games,Orange Games Lab,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-003,Counter Critical Strike Games,Big Fox Games,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-004,Anti Terrorist - Gun Shooting Game,NanoHead Games,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-005,Jail Guard Sim - Prison Escape,Crazy Fox Studio,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-006,Yeti BigFoot Game : Migoi,VIE APPS STUDIO (PRIVATE) LIMITED,,Apple,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-007,Call girls,sslohchab,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-008,Super my people,ramonia,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-009,Western: Quick Draw,Xwin Studio,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-010,Seven Luck,TechSode,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-011,Gun Games 3D- Fps Zombie Games,Iconic Action & Shooting Games,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-012,Virtual City Police Airport Manager Family Games,3Dee Space,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-013,777 Hot Slots Casino,"Hunan Liansheng Network Technology Co., Ltd",,Samsung Eelctroncis,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-014,Rope Spider 3D Rescue,Bachari A Gaming 12,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-015,Wild Dino Hunting,Bachari A Gaming 12,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-016,SQUAD clash - army games,Woodcock entertainment,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-017,Gun Game Simulator Fire Free ? Shooting Game 2k21,boyne sberry,,Samsung Eelctroncis,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-018,Secret Commando 3D FPS Shooter,Tech Lyfe Games,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-019,K-Sniper Challenge 3D,aydogan ltd,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-020,Sniper soldier games ? warzone,3d shooting club,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-021,Police Moto Bike Shooting Game,MH Games Rack,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-022,Gangster Theft Vegas Auto City,IMP-GameX,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-023,Gun Games 3d: Sniper Shooting,Mishi Games Studio,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-024,Western Frontier: Open World Cowboy Survival,Open Third World Shooter Wars,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-025,Mimicry: Online Horror,Anton Nazarov,,Apple,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-026,The Binbrook Experiments,Scruffy Nutcase Games,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230202-027,Realistic FPS Sniper Shooter,Bonfire66 Studio,,Google,2023-02-02,직권등급재분류,청소년이용불가
RE-OM-230216-001,Tekashi 6ix9ine Song Hop Tiles,HOPcwan,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-002,Commando Mission Offline games,Fun Action Offline Games Studio,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-003,Fire reborn,Gallimimus Publisher,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-004,Fps Scary Zombie Dead Shooting,Young Dragons,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-005,Fps gun war battle 2022 games,Gun Encounter Games,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-006,ATSS 2: Offline Shooting Games,Techouse Games,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-007,Gun Games- Gun Shooting Games,War Stone,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-008,Monsters Demo,Blueberry GameStudio,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-009,Offline Gun Shooting Games 3D,Iconic Action & Shooting Games,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-010,Zombie Games 3D Adventure game,GameWorld Studio,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-011,Zombie Survival Fps Games,DragonSay Games,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-012,FPS Shooting Games Offline,Sigma Casual & Action Games,,Google,2023-02-16,직권등급재분류,청소년이용불가
RE-OM-230216-013,fps cover shooter : Offline,Cover Shooter & Action Game,,Google,2023-02-16,직권등급재분류,청소년이용불가
-,Golden Puppy - Bring Wealth,Fitness Dev Team,,Google,2023-02-02,직권등급재분류,등급취소
-,BlackJack 21,PISTALIX SOLUTIONS PRIVATE LIMITED,,Samsung Eelctroncis,2023-02-02,직권등급재분류,등급취소
-,Block Puzzle - Endless Test,Wnlpeng,,Google,2023-02-02,직권등급재분류,등급취소
-,Lucky Bingo-win Money&Rewards,Ban wu,,Google,2023-02-02,직권등급재분류,등급취소
-,Merge Birds,Nengchaoer,,Google,2023-02-02,직권등급재분류,등급취소
-,Cat Pop Star,600 Game Studio,,Google,2023-02-02,직권등급재분류,등급취소
-,Wood Block Puzzle: Lucky Pro,Block Puzzle Enthusiast Team,,Google,2023-02-02,직권등급재분류,등급취소
-,Bridal Outfit & Makeup Artist,Creativity Insight,,Google,2023-02-02,직권등급재분류,등급취소
-,Merge Gem - Merge game,albertabarne,,Google,2023-02-02,직권등급재분류,등급취소
-,X videos - Word Game,Tech Ns,,Google,2023-02-16,직권등급재분류,등급취소
-,EcshoPay - Pull Pins Play Earn,Appecsaa,,Google,2023-02-16,직권등급재분류,등급취소
-,Rong Colorball Shoot,Nguyen Dinh Dinh,,Apple,2023-02-16,직권등급재분류,등급취소
-,Ready Set Bet Companion App,Nomad Games,,Apple,2023-02-16,직권등급재분류,등급취소
RE-OM-230216-014,파이널기어,BILIBILI,,Google,2023-02-16,등급조정,15세이용가
RE-OM-230216-015,파이널기어,BILIBILI HK LIMITED,,Apple,2023-02-16,등급조정,15세이용가
RE-OM-230216-016,파이널기어,BILIBILI HK LIMITED,,원스토어,2023-02-16,등급조정,15세이용가
RE-OM-230216-017,미해결사건부,miHoYo Limited,,Google,2023-02-16,등급조정,12세이용가
RE-OM-230216-018,재배소년,"OWLOGUE Co., Ltd.",,Apple,2023-02-16,등급조정,12세이용가
RE-OM-230216-019,앙상블스타즈!!,HappyElements,,Apple,2023-02-16,등급조정,12세이용가
RE-OM-230615-001,PHOBOS 2089,Event Horizon Co,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-002,All Games: all in one game,SPDN Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-003,Anti Terrorist Squad Gun Games,KGI Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-004,Gangster Jail Escape Shooting,Octazin Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-005,Green Rope Hero - Fighter 3D,sabudi,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-006,Grand Jail Prisoner Escape,Play Zee Studio,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-007,Critical Sniper Mission - FPS Shooter Game,Roony Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-008,Horror Games Zombie land,3Dmobiles,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-009,Sniper 2021,Fun Racing Free Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-010,아터리 기어:퓨전,BILIBILI HK LIMITED,,원스토어,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-011,1xslots,"Shenzhen Chengxing Network Technology Co., Ltd.",,삼성전자,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-012,Bigfoot Hunting - Bigfoot Monster Hunter Game,Games 4 Life,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-013,Death Mission of Zombies,Oluwasegun,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-014,Kaiju Universe,MadariGames,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-015,Realistic Guns War,AJATOKEN,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-016,Zombies Fall: Sniper Shooter,ZS: ZE Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-017,FPS Shooting Game Gun Game 3D,Gaming Hub Insight,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-018,워패스,Lilith Games,,Apple,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-019,Hide this evidence,MIKHAIL AGAFONOV,,Apple,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-020,quiz games,Husein Ebrahim,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-021,Sniper 3D Shooter- Assassin,melanie thomas,,Apple,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-022,Sniper 3D: Gun Shooter Game,Annex Gaming,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-023,Sniper Game: Gun Shooter,Game Plus Studio,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-024,Zombie Survival : Dead Army,Simulation Games Pvt Ltd,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-025,FPS Shooting Games Offline 3D,ZETATECH,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-026,Zombie Shooting Gun Fury Games,wamrGames,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-027,Real FPS Shooting Gun Game 3D,LEO INC.,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-028,FPS Shooting - Shooting Game,ouazgames studio,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-029,Cyguns Revenge,Cyguns Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-030,Bigfoot Hunting: Monster 2022,Adrien Solution 88,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-031,Scary Nurse Horror Hospital,Ahmad Jalil Qarshi,,Apple,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-032,Counter Strike Offline Games,Jockey Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-033,ZONA DE JUEGOS,moises.alejj,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-034,Battle Legends: Squad Shooting,Game Hippo Studio,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-035,Crazy Las Vegas,Main Games Lab,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-036,Kill Dead Zombie Mission Games,Velocity Racing Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-037,Godzilla Omniverse Game 3D,antalia apps,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-038,Grand Gangster Thug Crime City,Grand Gamez Studio,,Google,2023-06-15,직권등급재분류,청소년이용불가
RE-OM-230615-039,Gun Game 3D - FPS Game Offline,Velocity Racing Games,,Google,2023-06-15,직권등급재분류,청소년이용불가
